,Lowerbody_Color,Lowerbody_Style,Lowerbody_Type,Photo_ID,Updated_Date,Upperbody_Color,Upperbody_Style,Upperbody_Type
0,red,Denim,trouser,1,2019/01/14,red,Regular,Jacket
0,blue,Denim,trouser,2,2018/12/16,white,LongSleeves,Shirt
0,-,-,-,3,2018/12/17,blue,Regular,Suit
0,red,Denim,trouser,4,2018/12/17,red,LongSleeves,Shirt
0,-,-,-,5,2018/12/17,cyan,Regular,Suit
0,red,Denim,trouser,6,2018/12/17,cyan,Regular,Suit
0,blue,Regular,Short,7,2018/12/17,black,Regular,T-Shirt
0,white,Denim,trouser,8,2018/12/17,black,LongSleeves,Shirt
0,white,Regular,trouser,9,2018/12/17,black,Regular,Suit
0,cyan,Regular,trouser,10,2018/12/17,black,Regular,Suit
0,white,Denim,trouser,11,2018/11/30,black,LongSleeves,Shirt
0,-,-,-,12,2018/11/10,white,Regular,T-Shirt
0,-,-,-,13,2018/11/10,blue,Regular,T-Shirt
0,white,Denim,trouser,14,2018/10/23,blue,Regular,T-Shirt
0,-,-,-,15,2018/8/8,-,-,-
0,black,Regular,Short,16,2018/7/28,cyan,Regular,Suit
0,-,-,-,17,2018/7/28,red,Regular,T-Shirt
0,blue,Slim,trouser,18,2018/7/21,black,LongSleeves,Shirt
0,-,-,-,19,2018/7/22,black,Regular,T-Shirt
0,-,-,-,20,2018/7/21,white,Polo,Shirt
0,-,-,-,21,2018/6/29,blue,Regular,Jacket
0,-,-,-,22,2018/6/29,blue,Regular,T-Shirt
0,white,Denim,trouser,23,2018/6/24,white,Regular,T-Shirt
0,-,-,-,24,2018/6/3,cyan,LongSleeves,Shirt
0,black,Denim,trouser,25,2018/5/31,red,Regular,Suit
0,blue,Denim,trouser,26,2018/5/26,white,Regular,Suit
0,white,Denim,trouser,27,2018/5/3,black,Regular,Suit
0,-,-,-,28,2018/4/28,red,Regular,Suit
0,blue,Denim,trouser,29,2018/4/23,red,Regular,T-Shirt
0,-,-,-,30,2018/3/31,white,Regular,T-Shirt
