Suit_Regular,Coat_Regular,Jacket_Regular,Shirt_Regular,Shirt_Polo,Shirt_LongSleeves,T-Shirt_Regular,T-Shirt_LongSleeves,trouser_Denim,trouser_Slim,trouser_Regular,Short_Regular,Dress_Party,Dress_Casual,Dress_Formal,Top_Casual,Top_Formal,Skirt_Short,Skirt_Long,Tie
Postman Slim Fit Suit,Over Coat ,Packable Down Puffer Jacket,,Collared casual t-shirt,Long Sleeved Shirt,Henley T-Shirt,sweatshirt,denim trouser,Chinos,Khakis,Capri,Maxi dress,detailed dress,workwear dress,detail top,workwear top,tight skirt,three quarter skirt,
Extreme Slim Fit Suit,Modern-Fit Overcoat,Packable Puffer Jacket,,tennis shirt,,V-neck T-Shirt,Long Sleeved T-Shirt,denim jean,skinny jeans,Pleated Pants,,evening dress,casual dress,officewear dress,printed top,officewear top,workwear skirt,four quarter skirt,
Modern Fit Suit,Twill Bibby Overcoat,"
Marc New York Men's Long Snorkel Down Coat",,golf shirt,,Striped T-Shirt,,denim pant,skinny pants,Cargo Pants,,high low dress,linen dress,,floral top,,A line skirt,long skirt,
Linen Suit,Wool Blend Coat,Quilted Jacket,,polo t-shirt,,Graphic T-Shirt,,Jeggings,Leggings,Yoga Pants,,bodycon dress,simple shift dress,,evening top,,swing skirt,,
Tuxedo,Wool-Blend Overcoat, Hooded Bib Snorkel Parka,,,,Pocket T-Shirt,,,slimfit pant,track bottom,,,,,,,,,
Tux,Classic-Fit Topcoat,Trim Parka,,,,Solid/Plain T-Shirt,,,slimfin trouser,bottom,,,,,,,,,
business suit,Wool Coat , Tall Hooded Bib Snorkel Coa,,,,"
Hooded T-Shirt",,,,Palazzos,,,,,,,,,
morning suit,Rain Coat,Hooded Bomber Jacket,,,,Crew Neck T-Shirt,,,,Sweat Pants ,,,,,,,,,
pantsuit,Raincoat,Lined Jacket,,,,"
U Neck/Scoop Neck T-Shirt",,,,Sailor Pants,,,,,,,,,
three-piece suit,Topcoat,Canvas Hooded Jacket,,,,Jersey Knit/Stockinette,,,,,,,,,,,,,
trouser suit,Barn Coat,Puffer Coat,,,,,,,,,,,,,,,,,
tweeds,Vest,Leather Jacket,,,,,,,,,,,,,,,,,
,Trench Coat,Peacoat,,,,,,,,,,,,,,,,,
,,Tricot Track Jacket,,,,,,,,,,,,,,,,,
,,Hipster Jacket,,,,,,,,,,,,,,,,,
,,Fleece,,,,,,,,,,,,,,,,,
